Feature,Transformation,SUT Class,Special Fixture,SUT Method,Pre State Characteristics,Expected Behaviour
FeaDisjunctiveStubEntries,aoUrnToIw,InBinding,,Link,ManyStubEntries,ShouldLinkIwInBindingToIwStubEntries
FeaDisjunctiveStubEntries,aoUrnToIw,Stub,,Link,OrJoinInBetweenStubEntry,ShouldInitStubEntryIndexWithTheSameIndexOnEachOrJoinPreds
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwModel,,InsertInputProcessingNodes,,ShouldInvokeInsertInputProcessingNodesOnNodes
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwNodeConnection,,InsertInputProcessingNode,NotSharedCustomizableNodeAsTarget,ShouldNotBuildInputProcessingNode
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwNodeConnection,,InsertInputProcessingNode,OutputAsTarget,ShouldNotBuildInputProcessingNode
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwNodeConnection,,InsertInputProcessingNode,SharedCustomizableNodeAsTarget,ShouldBuildInputProcessingNode
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwNodeConnection,,InsertInputProcessingNode,StubAsSource,ShouldSetStubExitIndex
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwNodeConnection,,InsertInputProcessingNode,StubAsTarget,ShouldSetStubEntryIndex
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwNodeConnection,,InsertInputProcessingNode,TargetRequiresInputProcessing,ShouldBuildInputProcessingNode
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwNodeConnection,,InsertInputProcessingNode,TargetRequiresInputProcessing,ShouldDeleteSut
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwNodeConnection,,InsertInputProcessingNode,TargetRequiresInputProcessing,ShouldLinkInputProcessingToSource
FeaHandleTwoInputsInARow,iwToIwInsertInputProcessingNodes,IwNodeConnection,,InsertInputProcessingNode,TargetRequiresInputProcessing,ShouldLinkInputProcessingToTarget
